,overall,reviewText
6058802,1.0,PERFECT FIT ON MY 97 TAURUS CLASSIC CAR / AND NEW PIONEER SPEAKERS
356055,1.0,Is so nice to put away a bunch of remotes and have one really nice one do their job! Easy to use after you read the manual and is great quality!
961750,1.0,...but the price is very low! Been so tired of using a firewire for my external Samsung eSata hard drive. This thing made data transfer 10x the speed (full Sata II data rate).
6460818,0.0,"HORRIBLE computer, and bad service.  Fan grinds, ports break, and poor service.

I bought one of these over a year ago.  Since then, I've returned it twice to where I bought it, because the internal fan eventually wears and becomes incredibly noisy (meaning you will hear a constant grinding sound).  The most recent (my third) had a failing usb port, which now I can't replace/exchange at the purchase location because it's over a year (although each lasted less than six months).  HP service told me that I had to send the machine to them, and they will determine whether the port failed because of a defect, or my use, and if they determine it's my use, then they will charge me $500 for a new motherboard (apparently the port is attached to the motherboard and can't be replace simply).  So they will arbitrarily decide whether I pay $500, I wonder how that will go?  I decided to not take the risk, and now, of course, the fan on this machine is grinding.

This design should be scrapped or completely revamped.  Costco stopped carrying them, likely because there were so many issues and problems."
1574527,0.0,"I OPNED THIS THING UP TO SEE WHAT WAS INSIDE. ITS A PATENTED PIECE OF OVAL FLAT ANODIZED ALUMINUM. HORRIBE. I WOULD NOT HAVE PAID $5.00 FOR THIS THING. I LEFT IT OPENED TO THE AIR, NOW IT WORKS GREAT. I PITTY THE ONES WHO PAID $130.00 FOR THIS THING."
5525950,1.0,"solid construction, what i expected."
1253974,0.0,"I ordered 2 of these cables got them sooner than expected.  installed first cable and colors wrong.  inverted blue and red one end and worked fine.
removed cable and inspected found red and blue labels inverted on one end.

Inspected the other cable and found correct.  installed and working.  not really sure how to return 1/2 order.  Will leave at one star till I get it resolved."
4724109,0.0,"this adaptor is the perfect solution for connecting Kindle Fire to TV via HDMI or other monitor that accepts HDMI
The statement above is incorrect. This cable will not fit my Kindle Fire HD 8 (6th generation) tablet. When I called Amazon ""support"" I was told that my Kindle tablet was not capable of being connected to a TV (like for streaming content from Kindle to TV).
Why then is Amazon selling such cables and making the claim it is for Kindle Fire when it does not even fit the micro usb port on the device? Also, it would have been nice to know that my Kindle will not stream via cable or otherwise to a TV."
3667418,1.0,"Sturdy, fits well and protects the tablet perfectly"
4912014,1.0,"This is the best value by far in V mount professional batteries. Nearly twice the amp hours of the competition for a fraction of the price! The build quality is top notch and having a built in D-tap for both charging and output, plus a USB charging port is simply icing on an already sweet cake!
Highly recommended!"
6513247,1.0,"Good Product, Nice Quality, Good Price, Fast Shipping explain the 4 stars  Purchased from Sat Pro"
2666063,1.0,"Superb engineering, excellent build quality, rock solid connection and a great signal transmitted!"
5270082,1.0,"My first fan had an issue with the power insert.  Basically the power insert was pushed into the fan over time by the USB cord.  This is probably an isolated issue since the reviews for this fan are very good.  I wrote a review about the fan and my experience with the power insert.  Efluky contacted me and offered to replace the fan free of charge.  I'm impressed with the company for the follow-up and have updated the review based on their customer service.  I also like the fan very much.  It barely weighs anything and has three fan settings.  The highest fan setting is perfect for one of those hot days in the office.  Overall, I'm very satisfied!"
4472609,0.0,Audio jack is super loose without any supporting structure around. Sound is awful like enteral electronics are broken. Returned on the first day.
318478,0.0,We returned this GPS since it spent more time searching for our location than it did helping us find our way.  It also had a habit of suddenly losing power and we had to start over.
3475284,1.0,Works great no problems plug and play
27917,0.0,"if you have a small camera and a few accessories, this is great- gave it to a friend who has accessories for his smart phone camera because it was not enough of a bag for me and my lenses, flash, batteries etc..."
1203621,1.0,"very nice if all your pedals input/outputs are not staggered.  MXR or Boss pedals good...  ProCo Rat, ot TubeScreamer  not so good."
5612469,1.0,"I did a lot of research and looking, on these action cameras. Didn't want to spend on a GOPRO, as this is my first action camera,  Glad I didn't !!
This camera is so amazing with the video , that i can't put it down!! Will really enjoy when weather changes, so i can take it out on my boat, and record some fishing trips!! The Wifi works effortlessly with my Iphone,and did i say the video is absolutely crisp and amazing on 1080p 60 fps. The sound is pretty amazing as well. You won't be sorry purchasing this camera, i know I'm sure not. If anything for some reason would go wrong with it, I would not hesitate to replace it with the exact same camera, without a doubt !! Slight issue with some missing  pieces of attachment accessories, but let me just say, I shot an email off to Amazon Customer Service, explaining my issue, and they responded back to me within minutes, offering options to rectify the  issue !!! They were so appologetic, and wanting to make things right, my issue was resolved in a matter of approx. 2 hours via email. I couldn't be happier with Amazon!!
As far as stars, I wish there were more, they would all be lit up !!!

Thanks again Amazon, you will have my continued business!!!"
2481277,1.0,"I bought this DVD to use it with my new Sony 55"". It does work well and the ability to use the same remote for both the TV & DVD it's a great time saver."
3550802,1.0,"Love this camera. This is the second I've bought, after my first went for a swim. Not great in low light settings, but the zoom is phenomenal, I mean just outstanding, and the macro is great. Super versatile, fun to use."
3588470,1.0,just what I needed to fit - 9' - no noise
3929451,1.0,"No problems, excellent price"
2946363,1.0,Product is excellent in all aspects. I recommend this Product.
3571851,0.0,"Look closely at the pictures. Look at the connector. Yes - it's USB type A. Google it if you don't know what that means. It's the type of USB connector that should be on the Host (your computer), not on your drive. It does come with a cable that makes it work, but if you lose that, you're stuck. In addition, they don't show the cable, but its 2x USB A (computer) to 1x USB A (drive). So, it'll take up 2 of your computer's USB slots and be an unreplaceable cable. Would not recommend."
5962411,1.0,Really pleased with this item. Quality is great. And the price in comparison to other speakers slightly larger makes it a deal
1965481,1.0,"You can't go wrong with G.Skill.  Never an issue, always works."
3497642,0.0,"This tablet keeps shutting off! We have reset it, reinstalled it, and tried to set it up on another computer and it still has had the same issue.
It worked for the first 2 months, just enough to get past the return policy limit, of course!"
1904922,1.0,"This looks very hight quality construction. Wish all cables are like this. More importantly, it works fine too. If I buy more, I definitely buy from this brand (manufacturer)."
5103545,1.0,Works fine in my drone.
